Game_Index,Date,Start_Time,Away_Old,Away,Opponent,Win_Loss,Loss,Loss_n-1,Overtime,Tm_Score,Opp_Score,Score_Net,Total_Wins,Total_Loss,Record_Net,Streak,Streak_Clean
1,Wed Oct 17 2018,7:30p,,0,Hawks,W,0,0,0,126,107,19,1,0,1,W 1,1
2,Fri Oct 19 2018,7:30p,@,1,Nets,L,1,0,0,105,107,-2,1,1,0,L 1,-1
3,Sat Oct 20 2018,7:30p,,0,Celtics,L,1,1,0,101,103,-2,1,2,-1,L 2,-2
4,Mon Oct 22 2018,8:00p,@,1,Bucks,L,1,1,0,113,124,-11,1,3,-2,L 3,-3
5,Wed Oct 24 2018,7:30p,@,1,Heat,L,1,1,0,87,110,-23,1,4,-3,L 4,-4
6,Fri Oct 26 2018,7:30p,,0,Warriors,L,1,1,0,100,128,-28,1,5,-4,L 5,-5
7,Mon Oct 29 2018,7:30p,,0,Nets,W,0,1,0,115,96,19,2,5,-3,W 1,1
8,Wed Oct 31 2018,8:00p,,0,Pacers,L,1,0,0,101,107,-6,2,6,-4,L 1,-1
9,Fri Nov 2 2018,8:30p,@,1,Mavericks,W,0,1,0,118,106,12,3,6,-3,W 1,1
10,Sun Nov 4 2018,6:00p,@,1,Wizards,L,1,0,0,95,108,-13,3,7,-4,L 1,-1
11,Mon Nov 5 2018,7:30p,,0,Bulls,L,1,1,1,115,116,-1,3,8,-5,L 2,-2
12,Wed Nov 7 2018,7:30p,@,1,Hawks,W,0,1,0,112,107,5,4,8,-4,W 1,1
13,Sat Nov 10 2018,3:00p,@,1,Raptors,L,1,0,0,112,128,-16,4,9,-5,L 1,-1
14,Sun Nov 11 2018,7:30p,,0,Magic,L,1,1,0,89,115,-26,4,10,-6,L 2,-2
15,Wed Nov 14 2018,8:00p,@,1,Thunder,L,1,1,0,103,128,-25,4,11,-7,L 3,-3
16,Fri Nov 16 2018,8:00p,@,1,Pelicans,L,1,1,0,124,129,-5,4,12,-8,L 4,-4
17,Sun Nov 18 2018,6:00p,@,1,Magic,L,1,1,0,117,131,-14,4,13,-9,L 5,-5
18,Tue Nov 20 2018,7:30p,,0,Trail Blazers,L,1,1,0,114,118,-4,4,14,-10,L 6,-6
19,Wed Nov 21 2018,7:30p,@,1,Celtics,W,0,1,0,117,109,8,5,14,-9,W 1,1
20,Fri Nov 23 2018,7:30p,,0,Pelicans,W,0,0,0,114,109,5,6,14,-8,W 2,2
21,Sun Nov 25 2018,6:00p,@,1,Grizzlies,W,0,0,0,103,98,5,7,14,-7,W 3,3
22,Tue Nov 27 2018,7:00p,@,1,Pistons,L,1,0,0,108,115,-7,7,15,-8,L 1,-1
23,Wed Nov 28 2018,7:00p,@,1,76ers,L,1,1,0,91,117,-26,7,16,-9,L 2,-2
24,Sat Dec 1 2018,5:00p,,0,Bucks,W,0,1,1,136,134,2,8,16,-8,W 1,1
