Date,Custom dimension 6,Custom dimension 13,Custom dimension 3,Custom dimension 10,Custom dimension 9,Custom dimension 1,Custom dimension 5,Total events
2018-10-17,New York Knicks,2017102719,Knicks vs Nets 2017-10-27,Celebrity Alumni Interview,Pre Game,Clyde's Memories of His First Game as a Knick,"Al Trautwig,Walt ""Clyde"" Frazier",1
2018-10-17,New York Knicks,2017110522,Knicks vs Pacers 2017-11-05,Player Interview,Post Game,Porzingis: We're Playing With That New York Grit,Rebecca Haarlow,1
2018-10-17,New York Knicks,2017120422,Knicks at Pacers 2017-12-04,Segment,Post Game,Dunk of the Year Contender From a High Schooler,Bill Pidto,1
2018-10-17,New York Knicks,2018010319,Knicks at Pelicans 2017-12-30,Highlight Clip,Pre Game,Baker Takes an Elbow From Davis,"Bill Pidto,Wally Szczerbiak",1
2018-10-17,New York Knicks,2018010319,Knicks at Pelicans 2017-12-30,Highlight Clip,Pre Game,nyk-trier-post-100318,"Bill Pidto,Wally Szczerbiak",1
2018-10-17,New York Knicks,2018010319,Knicks at Wizards 2018-01-03,Segment,Pre Game,Baker Back & Rocking a Mask!,"Bill Pidto,Wally Szczerbiak",1
2018-10-17,New York Knicks,2018011219,Knicks at Timberwolves 2018-01-12,Feature,Pre Game,Knicks Go Bowling for The Garden of Dreams Foundation,Bill Pidto,1
2018-10-17,New York Knicks,2018012401,Knicks at Lakers 2018-01-21,Highlight Package,Post Game,Baby Race on the Hardwood!,Bill Pidto,1
2018-10-17,New York Knicks,2018013021,Knicks vs Nets 2018-01-30,Highlight Clip,Game,Baker Leaves the Game With Shoulder Injury,"Mike Breen,Walt ""Clyde"" Frazier",3
2018-10-17,New York Knicks,2018020221,Knicks at Bucks 2018-02-02,Celebrity Alumni Interview,Game,Sprewell: I'm a Knick for Life,"Kenny Albert,Rebecca Haarlow,Walt ""Clyde"" Frazier",1
2018-10-17,New York Knicks,2018020221,Knicks at Bucks 2018-02-02,Celebrity Alumni Interview,Game,nyk-trier-post-100318,"Kenny Albert,Rebecca Haarlow,Walt ""Clyde"" Frazier",1
2018-10-17,New York Knicks,2018020415,Knicks vs Hawks 2018-02-04,Highlights Analysis,Post Game,Breaking Down Knicks' Final Shot,"Alan Hahn,Wally Szczerbiak",1
2018-10-17,New York Knicks,2018020620,Knicks vs Bucks 2018-02-06,Highlight Clip,Game,Scary Sight as KP Leaves Game With Knee Injury,"Mike Breen,Walt ""Clyde"" Frazier",4
2018-10-17,New York Knicks,2018020620,Knicks vs Bucks 2018-02-06,Highlight Clip,Game,nyk-trier-post-100318,"Mike Breen,Walt ""Clyde"" Frazier",1
2018-10-17,New York Knicks,2018020620,Knicks vs Bucks 2018-02-06,Highlights Analysis,Game,Kanter And Hardaway Battle Through Injuries,"Mike Breen,Walt ""Clyde"" Frazier",1
2018-10-17,New York Knicks,2018020620,Knicks vs Bucks 2018-02-06,Player Interview,Game,Hardaway Provides Injury Update,"Mike Breen,Walt ""Clyde"" Frazier",1
2018-10-17,New York Knicks,2018033117,Knicks vs Pistons 2018-03-31,Highlight Clip,Game,Burke and Hardaway Jr. Still Bleed Maize and Blue,Rebecca Haarlow,1
2018-10-17,New York Knicks,2018040620,Knicks vs Bucks 2018-04-07,Feature,Game,How the West Will Be Won,Rebecca Haarlow,1
2018-10-17,New York Knicks,2018040620,Knicks vs Heat 2018-04-06,Front Office Interview,Game,Howie Singer Wins Dick McGuire Knickerbocker Legacy Award,Rebecca Haarlow,1
2018-10-17,New York Knicks,2018040620,Knicks vs Heat 2018-04-06,Front Office Interview,Game,nyk-trier-post-100318,Rebecca Haarlow,1
2018-10-17,New York Knicks,2018040922,Knicks vs Cavaliers 2018-04-09,Player Interview,Post Game,Ntilikina Surprises Young Lady With Scholarship,Rebecca Haarlow,1
2018-10-17,New York Knicks,2018100320,Knicks at Nets 2018-10-03,Highlight Clip,Game,Highlights: Frank With The Dunk!,"Mike Breen,Walt ""Clyde"" Frazier",1
2018-10-17,New York Knicks,2018100320,Knicks at Nets 2018-10-03,Highlight Clip,Game,nyk-trier-post-100318,"Mike Breen,Walt ""Clyde"" Frazier",1
2018-10-17,New York Knicks,2018100323,Knicks at Nets 2018-10-03,Highlight Clip,Game,Highlight: Ntilikina & Trier Team Up,Rebecca Haarlow,1
2018-10-17,New York Knicks,2018100323,Knicks at Nets 2018-10-03,Highlight Clip,Game,Kanter Thrilled With Defensive Intensity,Rebecca Haarlow,1
2018-10-17,New York Knicks,2018100323,Knicks at Nets 2018-10-03,Highlights Analysis,Game,Defense Comes to Play vs. Nets,Rebecca Haarlow,1
2018-10-17,New York Knicks,2018100323,Knicks at Nets 2018-10-03,Highlights Analysis,Game,Highlights of Trier's Eye-Popping Performance,Rebecca Haarlow,1
2018-10-17,New York Knicks,2018100522,Knicks vs Pelicans 2018-10-05,Player Interview,Post Game,Vonleh Goes Over Double-Double vs. New Orleans,Rebecca Haarlow,1
2018-10-17,New York Knicks,2018101220,Knicks vs Nets 2018-10-12,Highlight Package,Game,Fizdale Goes Over Decision to Start Ntilikina,Rebecca Haarlow,3
2018-10-17,New York Knicks,2018101220,Knicks vs Nets 2018-10-12,Highlight Package,Game,How Ntilikina Got Stronger In Offseason,Rebecca Haarlow,6
2018-10-17,New York Knicks,2018101220,Knicks vs Nets 2018-10-12,Highlight Package,Game,nyk-trier-post-100318,Rebecca Haarlow,3
2018-10-17,New York Knicks,2018101221,Knicks vs Nets 2018-10-12,Highlights Analysis,Halftime,Wally Wall: Ntilikina Attacking the Basket,"Al Trautwig,Wally Szczerbiak",1
2018-10-17,New York Knicks,2018101222,Knicks at Nets 2018-10-03,Highlights Analysis,Post Game,"Ntilikina, Vonleh & Hezonja Deliver Off the Bench","Al Trautwig,Alan Hahn,Wally Szczerbiak",17
2018-10-17,New York Knicks,2018101222,Knicks vs Nets 2018-10-12,Highlight Clip,Post Game,Highlight: Hezonja Finishes in Transition,"Alan Hahn,Wally Szczerbiak",1
2018-10-17,New York Knicks,2018101222,Knicks vs Nets 2018-10-12,Highlight Clip,Post Game,Highlight: Robinson Throws It Down With Authority,"Al Trautwig,Alan Hahn,Wally Szczerbiak",1
2018-10-17,New York Knicks,2018101222,Knicks vs Nets 2018-10-12,Highlight Package,Post Game,How Ntilikina Got Stronger In Offseason,"Al Trautwig,Alan Hahn,Wally Szczerbiak",1
2018-10-17,New York Knicks,2018101222,Knicks vs Nets 2018-10-12,Highlights Analysis,Post Game,Robinson Dominating at Both Ends of the Floor,"Alan Hahn,Wally Szczerbiak",1
2018-10-17,New York Knicks,2018101222,Knicks vs Nets 2018-10-12,Highlights Analysis,Post Game,Wally Wall: Ntilikina Attacking the Basket,"Alan Hahn,Wally Szczerbiak",1
2018-10-17,New York Knicks,2018101222,Knicks vs Nets 2018-10-12,Highlights Analysis,Post Game,Wally Wall: Robinson Displays Athleticism,"Alan Hahn,Wally Szczerbiak",3
2018-10-17,New York Knicks,2018101223,Knicks vs Nets 2018-10-12,Highlight Clip,Post Game,Highlight: Hezonja Finishes in Transition,Rebecca Haarlow,1
2018-10-17,New York Knicks,2018101223,Knicks vs Nets 2018-10-12,Player Interview,Post Game,Kornet Goes Over Hot-Shooting 4th Quarter,Rebecca Haarlow,3
2018-10-17,New York Knicks,2018101612,Knicks vs Hawks 2018-10-17,Feature,MSGN.com Exclusive,"Faces of Fizdale, Contact Lenses & Kanter Scares Kids",Bill Pidto,30
2018-10-17,New York Knicks,2018101612,Knicks vs Hawks 2018-10-17,Feature,MSGN.com Exclusive,Fizdale Assesses Team After Preseason Finale,Bill Pidto,1
2018-10-17,New York Knicks,2018101612,Knicks vs Hawks 2018-10-17,Feature,MSGN.com Exclusive,Fizdale Goes Over Decision to Start Ntilikina,Bill Pidto,6
2018-10-17,New York Knicks,2018101612,Knicks vs Hawks 2018-10-17,Feature,MSGN.com Exclusive,Hardaway OK After Injuring Wrist,Bill Pidto,1
2018-10-17,New York Knicks,2018101612,Knicks vs Hawks 2018-10-17,Feature,MSGN.com Exclusive,How Ntilikina Got Stronger In Offseason,Bill Pidto,1
2018-10-17,New York Knicks,2018101612,Knicks vs Hawks 2018-10-17,Feature,MSGN.com Exclusive,Knox Looking to be Aggressive With Second Unit,Bill Pidto,3
2018-10-17,New York Knicks,2018101612,Knicks vs Hawks 2018-10-17,Feature,MSGN.com Exclusive,Ntilikina Happy to be Named Starter,Bill Pidto,3
2018-10-17,New York Knicks,2018101612,Knicks vs Hawks 2018-10-17,Feature,MSGN.com Exclusive,Perry Gives an Update on Porzingis,Bill Pidto,1
2018-10-17,New York Knicks,2018101612,Knicks vs Hawks 2018-10-17,Feature,MSGN.com Exclusive,Trier Evaluates His Preseason,Bill Pidto,1
2018-10-17,New York Knicks,2018101612,Knicks vs Hawks 2018-10-17,Feature,MSGN.com Exclusive,nyk-trier-post-100318,Bill Pidto,9
2018-10-17,New York Knicks,2018101612,Knicks vs Nets 2018-10-12,Coach Interview,MSGN.com Exclusive,Fizdale Assesses Team After Preseason Finale,Bill Pidto,1
2018-10-17,New York Knicks,2018101612,Knicks vs Nets 2018-10-12,Coach Interview,MSGN.com Exclusive,Fizdale Goes Over Decision to Start Ntilikina,Bill Pidto,1
2018-10-17,New York Knicks,2018101612,Knicks vs Nets 2018-10-12,Coach Interview,MSGN.com Exclusive,icymi-knicks-101518,Bill Pidto,1
2018-10-17,New York Knicks,2018101612,Knicks vs Nets 2018-10-12,Coach Interview,MSGN.com Exclusive,nyk-trier-post-100318,Bill Pidto,1
