Date,Hour,Client_ID,Game,Video_Category,Post_Date_Hour,Editorial_Video_Plays
2018-12-24,0,136319183.2,Knicks vs Hawks 2018-12-21,Front Office Interview,2018122119,1
2018-12-24,0,950482911.2,Knicks vs Hawks 2018-12-21,Front Office Interview,2018122119,1
2018-12-24,0,1589813432,Knicks vs Suns 2018-12-17,Feature,2018121720,1
2018-12-24,0,1864715274,Knicks vs Hawks 2018-12-21,Coach Interview,2018122017,1
2018-12-24,0,1923767398,"Knicks at 76ers 2018-12-19,Knicks vs Suns 2018-12-17",Full Episode,2018121810,1
2018-12-24,0,2047817006,Knicks vs Suns 2018-12-17,Feature,2018121720,1
2018-12-24,1,732311598.2,Knicks vs Hawks 2018-12-21,Front Office Interview,2018122122,1
2018-12-24,1,732311598.2,Knicks vs Hawks 2018-12-21,Highlight Package,2018122122,1
2018-12-24,1,732311598.2,Knicks vs Hawks 2018-12-21,Highlights Analysis,2018122122,1
2018-12-24,1,868770913.2,Knicks at Pacers 2017-12-04,Segment,2017120422,1
2018-12-24,2,497142546.2,Knicks at Bucks 2018-02-02,Celebrity Alumni Interview,2018020221,1
2018-12-24,2,1111635573,Knicks at Wizards 2018-03-25,Feature,2018032518,1
2018-12-24,4,1174672086,Knicks vs Hawks 2018-12-21,Coach Interview,2018122017,1
2018-12-24,6,1944692228,Knicks vs Hawks 2018-12-21,Coach Interview,2018122017,1
2018-12-24,7,1260507093,Knicks vs Hawks 2018-12-21,Coach Interview,2018122017,1
2018-12-24,8,826896787.2,Knicks vs Hawks 2018-12-21,Coach Interview,2018122017,1
2018-12-24,8,1292820218,Knicks vs Hawks 2018-12-21,Front Office Interview,2018122119,1
2018-12-24,8,2095139573,Knicks at 76ers 2018-03-28,Celebrity Alumni Interview,2018032821,1
2018-12-24,9,354713087.2,Knicks vs Hawks 2018-12-21,Coach Interview,2018122017,1
2018-12-24,9,520524914.2,Knicks vs Hornets 2018-12-09,Full Episode,2018121010,1
2018-12-24,9,869164602.2,Knicks vs Hawks 2018-12-21,Coach Interview,2018122017,1
2018-12-24,9,1170731947,Knicks vs Hawks 2018-12-21,Coach Interview,2018122017,1
2018-12-24,9,1219873765,Knicks vs Bucks 2018-02-06,Highlight Clip,2018020620,1
2018-12-24,9,1382405062,Knicks vs Hawks 2018-12-21,Coach Interview,2018122017,1
2018-12-24,9,1513622437,Knicks at Heat 2018-03-21,Player Interview,2018032518,1
2018-12-24,9,1513622437,Knicks at Wizards 2018-03-25,Feature,2018032518,1
2018-12-24,9,1629745119,Knicks vs Hawks 2018-12-21,Coach Interview,2018122017,1
2018-12-24,10,58888282.15,Knicks at Wizards 2018-03-25,Feature,2018032518,1
2018-12-24,10,1370409256,Knicks vs Hawks 2018-12-21,Coach Interview,2018122017,1
2018-12-24,10,2062866564,Knicks vs Hawks 2018-12-21,Coach Interview,2018122210,1
