Date,Custom dimension 8,Custom dimension 6,Custom dimension 13,Custom dimension 3,Custom dimension 10,Custom dimension 9,Custom dimension 1,Total events
2018-10-17,7842624.154,New York Knicks,2018101223,Knicks vs Nets 2018-10-12,Player Interview,Post Game,Kornet Goes Over Hot-Shooting 4th Quarter,1
2018-10-17,61395037.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Second Quarter of Zoom Powers Knicks Over Hawks,1
2018-10-17,64060815.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Fizdale Goes Over Decision to Start Ntilikina,1
2018-10-17,64060815.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Knox Looking to be Aggressive,1
2018-10-17,64060815.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Ntilikina Happy to be Named Starter,1
2018-10-17,64060815.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Perry Gives an Update on Porzingis,1
2018-10-17,64060815.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Second Quarter of Zoom Powers Knicks Over Hawks,1
2018-10-17,64060815.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Trier Evaluates His Preseason,1
2018-10-17,64060815.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,icymi-knicks-101518,1
2018-10-17,64060815.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,nyk-trier-post-100318,1
2018-10-17,64060815.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Player Interview,Post Game,Hardaway Jr. & Trier React After Monster Win vs. Hawks,1
2018-10-17,85453522.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlight Clip,Post Game,Fizdale Goes Over Decision to Start Ntilikina,1
2018-10-17,85453522.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlight Clip,Post Game,Highlight: Frank's Killer Crossover,1
2018-10-17,85453522.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlight Clip,Post Game,Highlight: Kanter Finishes the Fast Break,1
2018-10-17,85453522.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlight Clip,Post Game,Highlight: Trier's Nasty Stuff,1
2018-10-17,85453522.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlight Clip,Post Game,nyk-trier-post-100318,4
2018-10-17,85453522.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Knicks Rolling Over Hawks at Halftime,1
2018-10-17,85453522.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Second Quarter of Zoom Powers Knicks Over Hawks,1
2018-10-17,89683506.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlight Clip,Post Game,Highlight: Frank's Killer Crossover,1
2018-10-17,89683506.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlight Clip,Post Game,Highlight: Kanter Finishes the Fast Break,1
2018-10-17,89683506.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlight Clip,Post Game,nyk-trier-post-100318,3
2018-10-17,89683506.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,BUF_DAHLIN_HIGHLIGHTS_101318,1
2018-10-17,89683506.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Dahlin Turns In All-Around Game,1
2018-10-17,89683506.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Devils Put In Complete Performance vs. Stars,1
2018-10-17,89683506.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Highlight: Dea Nets 1st as a Devil,1
2018-10-17,89683506.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Highlight: Palmieri Buries Nice Pass From Hall,1
2018-10-17,89683506.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Isles' Comeback Bid Falls Short,1
2018-10-17,89683506.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Miles Wood Loses a Tooth,1
2018-10-17,89683506.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Second Quarter of Zoom Powers Knicks Over Hawks,1
2018-10-17,91665442.15,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Second Quarter of Zoom Powers Knicks Over Hawks,3
2018-10-17,102440530.2,New York Knicks,2018101222,Knicks vs Nets 2018-10-12,Coach Interview,Post Game,Fizdale Assesses Team After Preseason Finale,1
2018-10-17,113203509.2,New York Knicks,2017120422,Knicks at Pacers 2017-12-04,Segment,Post Game,Dunk of the Year Contender From a High Schooler,1
2018-10-17,116355942.2,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,Wally Wall: How Knicks Ran Plays Hardaway & Hezonja,1
2018-10-17,116355942.2,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Highlights Analysis,Post Game,nyk-trier-post-100318,1
2018-10-17,122491762.2,New York Knicks,2018101222,Knicks vs Nets 2018-10-12,Highlights Analysis,Post Game,Wally Wall: Robinson Displays Athleticism,1
2018-10-17,148233404.2,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Player Interview,Post Game,Hardaway Jr. & Trier React After Monster Win vs. Hawks,1
2018-10-17,151913382.2,New York Knicks,2018101722,Knicks vs Hawks 2018-10-17,Player Interview,Post Game,Fizdale Goes Over Decision to Start Ntilikina,1
